REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=0.0099000099000099, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=0.0099000099000099, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=0.0009000009000009, Intersect=0.00018000018000018
REQ: Simpl=0.000135000135000135, Snap=0.000135000135000135, MinLen=0.0009000009000009, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000225000225000225, MinLen=0.0009000009000009, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000225000225000225, MinLen=0.000225000225000225, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000225000225000225, MinLen=0.000225000225000225, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.00018000018000018, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=0.00045000045000045, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
REQ: Simpl=9.000009000009e-05, Snap=0.000135000135000135, MinLen=9.000009000009e-05, Intersect=0.00018000018000018
